Tw_in [°C];mw_dot [kg/s];Hpev;omegab [rpm]
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;4297
30;0.23;76;8748
30;0.23;76;8748
30;0.23;76;8748
30;0.23;76;8748
30;0.23;76;8748
30;0.23;76;8748
30;0.23;76;8748
30;0.23;76;8748
30;0.23;76;8748
30;0.23;76;8748
30;0.23;76;8748
30;0.23;76;8748
30;0.23;76;8748
30;0.23;76;8748
30;0.23;76;8748
30;0.23;76;8748
30;0.23;76;8748
30;0.23;76;8748
30;0.23;76;8748
30;0.23;76;8748
30;0.23;76;8748
30;0.23;76;8748
30;0.23;76;8748
30;0.23;76;8748
30;0.23;76;8748
30;0.23;76;8748
30;0.23;76;8748
30;0.23;76;8748
30;0.23;76;8748
30;0.23;76;8748
30;0.23;76;8748
30;0.23;76;8748
30;0.23;76;8748
30;0.23;76;8748
30;0.23;76;8748
30;0.23;76;8748
30;0.23;76;8748
30;0.23;76;8748
30;0.23;76;8748
30;0.23;76;8748
30;0.23;76;8748
30;0.23;76;8748
30;0.23;76;8748
30;0.23;76;8748
30;0.23;76;8748
30;0.23;76;8748
30;0.23;76;8748
30;0.23;76;8748
30;0.23;76;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8748
30;0.23;88;8556
30;0.23;88;8556
30;0.23;88;8556
30;0.23;88;8556
30;0.23;73;8556
30;0.23;73;8556
30;0.23;73;8556
30;0.23;73;8556
30;0.23;73;8556
30;0.23;73;8556
30;0.23;73;8556
30;0.23;73;8556
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
30;0.23;73;1950
